"|,""latitude"",""longitude"",""sicaklik"",""timestamp"""
"-LwUbBCnW8cR5WuFE_8F,""40.742264"",""30.325671"",""8.717448"",""1576783365280"""
"-LwUbF0nw4ahvvIyvo_D,""40.742264"",""30.325671"",""8.310547"",""1576783380911"""
"-LwUbIpokOF355UsyiNV,""40.742264"",""30.325671"",""5.869141"",""1576783396539"""
"-LwUbMe9ig9iGwhiWHUN,""40.742264"",""30.325671"",""5.869141"",""1576783412190"""
"-LwUbQTc4Tvem6VbVztn,""40.742264"",""30.325671"",""5.869141"",""1576783427802"""
"-LwUbUHP-EqjjF-xPpZ7,""40.742264"",""30.325671"",""7.903646"",""1576783443404"""
"-LwUbY5DNUkcoMuK8TG5,""40.742264"",""30.325671"",""5.869141"",""1576783459011"""
"-LwUbauB84au7OCDbU3B,""40.742264"",""30.325671"",""8.310547"",""1576783474621"""
"-LwUbei12CQ7TvR168kx,""40.742264"",""30.325671"",""8.310547"",""1576783490224"""
"-LwUbiXOGn8_wsc8J036,""40.742264"",""30.325671"",""8.310547"",""1576783505870"""
"-LwUbmLGb5boCWoNhns7,""40.742264"",""30.325671"",""7.903646"",""1576783521474"""
"-LwUbq9E6dkSNCsXv040,""40.742264"",""30.325671"",""5.46224"",""1576783538143"""
"-LwUbuDXOJgq8-7xl2gE,""40.742264"",""30.325671"",""5.46224"",""1576783553744"""
"-LwUby1JdMAws0OuNmY4,""40.742264"",""30.325671"",""8.310547"",""1576783569349"""
"-LwUc15stmIaIXa3877k,""40.742264"",""30.325671"",""8.310547"",""1576783586019"""
"-LwUc4uGJnVXGmWnC-uV,""40.742264"",""30.325671"",""8.310547"",""1576783601580"""
"-LwUc8hK9jMxJQd8VBFA,""40.742264"",""30.325671"",""9.53125"",""1576783617133"""
"-LwUcCVR2CP5KwLuCidC,""40.742264"",""30.325671"",""8.310547"",""1576783632693"""
"-LwUcGIXE57gFHFpkkm0,""40.742264"",""30.325671"",""8.310547"",""1576783648253"""
"-LwUcK5nCFeVV_5TDoPl,""40.742264"",""30.325671"",""8.310547"",""1576783663823"""
"-LwUcNu6c8MPCp2XwhH_,""40.742264"",""30.325671"",""8.310547"",""1576783679390"""
"-LwUcRh8uSPvJ5BnP6Ko,""40.742264"",""30.325671"",""8.310547"",""1576783695032"""
"-LwUcVXFPi2JpsEnJLfR,""40.742264"",""30.325671"",""8.310547"",""1576783710708"""
"-LwUcZLtK-N4svgaJJHx,""40.742264"",""30.325671"",""8.310547"",""1576783726288"""
"-LwUcc9AEOp5L_n1t41_,""40.742264"",""30.325671"",""5.46224"",""1576783741860"""
"-LwUcfxHNNxXmG1q1Ilk,""40.742264"",""30.325671"",""8.310547"",""1576783757421"""
"-LwUcjkQOlAh6rgeBrUn,""40.742264"",""30.325671"",""8.310547"",""1576783772979"""
"-LwUcnYPQ3vLfAlHniq4,""40.742264"",""30.325671"",""5.869141"",""1576783788531"""
"-LwUcrLTxa2zE7M6-RpD,""40.742264"",""30.325671"",""6.276042"",""1576783804100"""
"-LwUcv97az9TOoY_K7a3,""40.742264"",""30.325671"",""8.310547"",""1576783819686"""
"-LwUcyxHuAUy8aAZAC5s,""40.742264"",""30.325671"",""8.310547"",""1576783835244"""
"-LwUd1krkmwcovlpbnAy,""40.742264"",""30.325671"",""8.310547"",""1576783850837"""
"-LwUd5ZPXWhDXqxbz0_a,""40.742264"",""30.325671"",""5.869141"",""1576783866421"""
"-LwUd9MVguw3sIv8-GYd,""40.742264"",""30.325671"",""8.310547"",""1576783881979"""
"-LwUdD9boUNW8cTm8G98,""40.742264"",""30.325671"",""8.310547"",""1576783897544"""
"-LwUdGxlXNWJee0iJyqL,""40.742264"",""30.325671"",""5.869141"",""1576783913097"""
"-LwUdKkl8l4bHdwYzDW5,""40.742264"",""30.325671"",""5.869141"",""1576783928646"""
"-LwUdOYnwx_5rtXq_9eW,""40.742264"",""30.325671"",""5.869141"",""1576783944202"""
"-LwUdSM1OM6Sj0bDHTWe,""40.742264"",""30.325671"",""8.310547"",""1576783959769"""
"-LwUdW90AHoTzuZf855e,""40.742264"",""30.325671"",""8.310547"",""1576783975321"""
"-LwUdZx8nK8AK18O9osv,""40.742264"",""30.325671"",""8.310547"",""1576783991006"""
"-LwUdctOtg5-fEjiIQXn,""40.742264"",""30.325671"",""8.310547"",""1576784007047"""
"-LwUdgio6G0V4te20eF3,""40.742264"",""30.325671"",""5.46224"",""1576784022739"""
"-LwUdkX53ldDdQk0qzaY,""40.742264"",""30.325671"",""8.310547"",""1576784038382"""
"-LwUdoLSeG_lTuSUQzk4,""40.742264"",""30.325671"",""8.310547"",""1576784053942"""
"-LwUds8_mbG3onw_9oUJ,""40.742264"",""30.325671"",""8.310547"",""1576784069510"""
"-LwUdvwurRd-lYA9RoLF,""40.742264"",""30.325671"",""8.310547"",""1576784085076"""
"-LwUdzkVkc_vQpZAwu4P,""40.742264"",""30.325671"",""5.46224"",""1576784100676"""
"-LwUe2YgERbhBSbEXgmy,""40.742264"",""30.325671"",""5.46224"",""1576784116227"""
"-LwUe6Lx1kNUK6U_DjaQ,""40.742264"",""30.325671"",""8.310547"",""1576784131798"""
"-LwUeA97h4P_5hWRhNu3,""40.742264"",""30.325671"",""8.310547"",""1576784147362"""
"-LwUeDxK63NvOlyRbxcs,""40.742264"",""30.325671"",""8.310547"",""1576784162924"""
"-LwUeHkL6rf4dDdl4Rum,""40.742264"",""30.325671"",""5.869141"",""1576784178483"""
"-LwUeLYWLQkK8fOeg-IE,""40.742264"",""30.325671"",""8.310547"",""1576784194038"""
